Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR005410	Two pore domain potassium channel, THIK	interpro	family		PR01588	GO:0005267,GO:0071805,GO:0016021
IPR005411	Claudin-2	interpro	family		PR01589	GO:0005198,GO:0005923
IPR005412	DNA-binding protein Fis	interpro	family		PR01591,PIRSF002097,MF_00166	GO:0003677,GO:0006355
IPR005413	Low calcium response V antigen	interpro	family		PR01592,PF04792	GO:0009405,GO:0005576
IPR005414	Guanine nucleotide exchange factor SopE	interpro	family		PR01593,PIRSF034781	GO:0005085,GO:0009405,GO:0031532,GO:0090630,GO:0005576
IPR005415	Type III secretion system, low calcium response, chaperone LcrH/SycD	interpro	family		TIGR02552,PR01595	
IPR005416	Type III secretion chaperone SycE	interpro	family		PR01596,PIRSF011271	GO:0009405,GO:0050708
IPR005417	Tight junction protein ZO	interpro	family		PR01597	GO:0005923
IPR005418	Tight junction protein ZO-1	interpro	family		PR01598,PTHR13865:SF25	GO:0005923
IPR005419	Tight junction protein ZO-2	interpro	family		PR01599	GO:0005923
IPR005420	Tight junction protein ZO-3	interpro	family		PR01600,PTHR13865:SF11	GO:0005923
IPR005421	Voltage-dependent calcium channel, gamma-1 subunit	interpro	family		PR01601	GO:0005245,GO:0070588,GO:0005891
IPR005422	Voltage-dependent calcium channel, gamma-2 subunit	interpro	family		PR01602,PTHR12107:SF1	GO:0005245,GO:0070588,GO:0005891
IPR005423	Voltage-dependent calcium channel, gamma-4 subunit	interpro	family		PR01603,PTHR12107:SF7	GO:0005245,GO:0070588,GO:0005891
IPR005424	Potassium channel, voltage-dependent, beta subunit, KCNE1	interpro	family		PR01604	GO:0005249,GO:0006813,GO:0016020
IPR005425	Potassium channel, voltage-dependent, beta subunit, KCNE2	interpro	family		PR01605	GO:0005249,GO:0006813,GO:0016020
IPR005426	Potassium channel, voltage-dependent, beta subunit, KCNE3	interpro	family		PR01606,PTHR15282:SF6	GO:0005249,GO:0006813,GO:0016020
IPR005427	Salmonella/Shigella invasin protein C	interpro	family		TIGR02101,PF09599	GO:0009405
IPR005428	CD36/scavenger receptor class B member 1	interpro	family		PR01610	
IPR005429	Lysosome membrane protein II	interpro	family		PR01611	GO:0005044,GO:0005764
IPR005430	P pili tip fibrillum PapF protein	interpro	family		PR01613	GO:0009405,GO:0009289
IPR005431	Gamma-aminobutyric-acid A receptor, alpha 1 subunit	interpro	family		PR01614	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005432	Gamma-aminobutyric-acid A receptor, alpha 2 subunit	interpro	family		PR01615,PTHR18945:SF218	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005433	Gamma-aminobutyric-acid A receptor, alpha 3 subunit	interpro	family		PR01616	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005434	Gamma-aminobutyric-acid A receptor, alpha 4 subunit	interpro	family		PR01617	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005435	Gamma-aminobutyric-acid A receptor, alpha 5 subunit	interpro	family		PR01618	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005436	Gamma-aminobutyric-acid A receptor, alpha 6 subunit	interpro	family		PR01619	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005437	Gamma-aminobutyric-acid A receptor, gamma subunit	interpro	family		PR01620	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005438	Gamma-aminobutyric-acid A receptor, gamma 1 subunit	interpro	family		PR01621	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005439	Gamma-aminobutyric-acid A receptor, gamma 2 subunit	interpro	family		PR01622	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005440	Gamma-aminobutyric-acid A receptor, gamma 3 subunit	interpro	family		PR01623	GO:0004890,GO:0006821,GO:0007214,GO:0016021
IPR005441	Preproghrelin peptide	interpro	family		PR01624,PTHR14122	GO:0016608,GO:0005576
IPR005442	Glutathione S-transferase, omega-class	interpro	family		PR01625	GO:0004364,GO:0005737
IPR005443	Voltage-dependent calcium channel, L-type, beta-1 subunit	interpro	family		PR01627	GO:0005245,GO:0070588,GO:0005891
IPR005444	Voltage-dependent calcium channel, L-type, beta-2 subunit	interpro	family		PR01628	GO:0005245,GO:0070588,GO:0005891
IPR005445	Voltage-dependent calcium channel, T-type, alpha-1 subunit	interpro	family		PR01629	GO:0005245,GO:0070588,GO:0005891
IPR005446	Voltage-dependent calcium channel, L-type, alpha-1 subunit	interpro	family		PR01630	GO:0005245,GO:0070588,GO:0005891
IPR005447	Voltage-dependent calcium channel, N-type, alpha-1 subunit	interpro	family		PR01631,PTHR45628:SF6	GO:0005245,GO:0070588,GO:0005891
IPR005448	Voltage-dependent calcium channel, P/Q-type, alpha-1 A	interpro	family		PR01632	GO:0005245,GO:0070588,GO:0005891
IPR005449	Voltage-dependent calcium channel, R-type, alpha-1 subunit	interpro	family		PR01633,PTHR45628:SF5	GO:0005245,GO:0070588,GO:0005891
IPR005450	Voltage-dependent calcium channel, L-type, alpha-1S subunit	interpro	family		PR01634,PTHR45628:SF9	GO:0005245,GO:0070588,GO:0005891
IPR005451	Voltage-dependent calcium channel, L-type, alpha-1C subunit	interpro	family		PR01635	GO:0005245,GO:0070588,GO:0005891
IPR005452	Voltage-dependent calcium channel, L-type, alpha-1D subunit	interpro	family		PR01636	GO:0005245,GO:0070588,GO:0005891
IPR005453	Pollen allergen Lol p2	interpro	family		PR01637	GO:0005576
IPR005454	Profilin1/2/3, vertebrate	interpro	family		PR01639	GO:0003779,GO:0030036
IPR005455	Profilin	interpro	family		PR01640,PR00392,SM00392,PF00235,PTHR11604,cd00148	
IPR005456	Pre-pro melanin-concentrating hormone	interpro	family		PR01641,PTHR12091,PF05824	GO:0030354,GO:0007268
IPR005457	Transient receptor potential channel, canonical 1	interpro	family		PR01642,PTHR10117:SF56	GO:0005262,GO:0070588,GO:0016021
IPR005458	Transient receptor potential channel, canonical 2	interpro	family		PR01643,PTHR10117:SF6	GO:0005262,GO:0070588,GO:0016021
IPR005459	Transient receptor potential channel, canonical  3	interpro	family		PR01644,PTHR10117:SF8	GO:0005262,GO:0070588,GO:0016021
IPR005460	Transient receptor potential channel, canonical 4	interpro	family		PR01645,PTHR10117:SF25	GO:0005262,GO:0070588,GO:0016021
IPR005461	Transient receptor potential channel, canonical 5	interpro	family		PR01646,PTHR10117:SF76	GO:0005262,GO:0070588,GO:0016021
IPR005462	Transient receptor potential channel, canonical 6	interpro	family		PR01647,PTHR10117:SF7	GO:0005262,GO:0070588,GO:0016021
IPR005463	Transient receptor potential channel, canonical 7	interpro	family		PR01648,PTHR10117:SF9	GO:0005262,GO:0070588,GO:0016021
IPR005464	Psychosine receptor	interpro	family		PR01649	GO:0004930,GO:0016021
IPR005466	P2Y14 purinoceptor	interpro	family		PR01655	GO:0045028,GO:0007186,GO:0016021
IPR005468	Avidin/streptavidin	interpro	family		PF01382,PS51326	GO:0009374
IPR005469	Avidin	interpro	family		PR00709	GO:0009374
IPR005477	Deoxyxylulose-5-phosphate synthase	interpro	family		PTHR43322,TIGR00204,PF13292,MF_00315,cd02007	GO:0008661,GO:0016114
IPR005478	Transketolase, bacterial-like	interpro	family		TIGR00232	GO:0004802
IPR005484	Ribosomal protein L18	interpro	family		PTHR12899,PF00861	GO:0003735,GO:0006412,GO:0005840
IPR005485	Ribosomal protein L5 eukaryotic/L18 archaeal	interpro	family		PR00058,MF_01337_A,PTHR23410,PF17144	GO:0003735,GO:0008097,GO:0006412,GO:0005840
IPR005488	N-acetylmuramic acid 6-phosphate etherase MurQ	interpro	family		TIGR00274,MF_00068,PTHR10088:SF5,cd05007	GO:0016835,GO:0046348
IPR005489	Protein of unknown function DUF257	interpro	family		PF03192	
IPR005493	Ribonuclease E inhibitor RraA/RraA-like protein	interpro	family		PF03737,cd16841	
IPR005495	Permease LptG/LptF-related	interpro	family		PF03739,PTHR33529	GO:0016021
IPR005496	Integral membrane protein TerC	interpro	family		PF03741	GO:0016021
IPR005497	Cytochrome b6-f complex, subunit 8	interpro	family		PF03742,MF_00395,PTHR35773	GO:0045158,GO:0017004,GO:0009512
IPR005498	Type IV secretion system, VirB10 / TraB / TrbI	interpro	family		PF03743	
IPR005499	6-carboxyhexanoate--CoA ligase	interpro	family		TIGR01204,PF03744,MF_00668	GO:0005524,GO:0042410,GO:0009102
IPR005500	Protein of unknown function DUF309	interpro	family		PF03745,PTHR34796	
IPR005501	LamB/YcsF/PxpA-like	interpro	family		PF03746,MF_00691,PTHR30292	
IPR005502	ADP-ribosylation/Crystallin J1	interpro	family		PF03747	
IPR005503	Flagellar basal body-associated protein FliL	interpro	family		PF03748,PTHR35091	GO:0006935,GO:0071973,GO:0009425
IPR005507	Human herpesvirus 6 immediate early protein	interpro	family		PF03753	
IPR005508	Protein of unknown function DUF313	interpro	family		PF03754	
IPR005510	CRISPR type III-associated RAMP protein Csm4	interpro	family		TIGR01903	
IPR005511	Senescence marker protein-30 (SMP-30)	interpro	family		PR01790	
IPR005513	Late embryogenesis abundant protein, LEA_1 subgroup	interpro	family		PF03760,PTHR33493	GO:0009793
IPR005514	Chymotrypsin family Peptidase-S1	interpro	family		PF03761	
IPR005515	Vitelline membrane outer layer protein I (VOMI)	interpro	family		PTHR18841,PF03762,cd00220	
IPR005519	Acid phosphatase, class B-like	interpro	family		PF03767	
IPR005522	Inositol polyphosphate kinase	interpro	family		PF03770,PTHR12400	GO:0016301,GO:0032958
IPR005524	Predicted permease DUF318	interpro	family		PF03773	
IPR005527	Cell division topological specificity factor MinE	interpro	family		TIGR01215,PF03776,MF_00262,PTHR33404	GO:0032955,GO:0051301
IPR005531	Alkaline shock protein Asp23	interpro	family		PTHR34297,PF03780	
IPR005534	Curli production assembly/transport component CsgG	interpro	family		PF03783	GO:0030288
IPR005535	Cyclotide	interpro	family		PIRSF037891,PF03784,PS51052	GO:0006952
IPR005537	CRISPR type III-associated protein	interpro	family		PF03787	
IPR005538	LrgA/CidA family	interpro	family		PF03788,PTHR33931	GO:0016021
IPR005548	Cell division protein FtsQ/DivIB	interpro	family		PF03799	
IPR005549	Kinetochore protein Nuf2	interpro	family		PF03800	GO:0000776,GO:0031262
IPR005550	Kinetochore protein Ndc80	interpro	family		PTHR10643,PF03801	GO:0051315,GO:0031262
IPR005551	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	interpro	family		PF03802,MF_00398,TIGR03124	GO:0051191
IPR005552	Scramblase	interpro	family		PTHR23248,PF03803	GO:0017128,GO:0017121
IPR005553	Cytoadherence-linked asexual protein	interpro	family		PF03805,PTHR42537	GO:0020035
IPR005554	NOL6/Upt22	interpro	family		PTHR17972	
IPR005555	M-factor	interpro	family		PF03855	GO:0000772
IPR005556	SUN family	interpro	family		PF03856	
IPR005557	Colicin immunity protein	interpro	family		PIRSF003003,PF03857	GO:0015643,GO:0030153
IPR005562	SpoVA	interpro	family		PTHR38450,PF03862	
IPR005563	Assembly protein	interpro	family		PF03863	GO:0039666
IPR005564	Major capsid protein GpE	interpro	family		PF03864	
IPR005566	Hydrophobic abundant protein (HAP)	interpro	family		PIRSF022393,PF03866	
IPR005570	RNA polymerase, Rpb8	interpro	family		PTHR10917,PIRSF000779,SM00658,PF03870	GO:0006351
IPR005574	RNA polymerase subunit RPB4/RPC9	interpro	family		PF03874	GO:0006352,GO:0030880
IPR005575	Statherin	interpro	family		PIRSF002565,PF03875	GO:0046848,GO:0030500,GO:0042742,GO:0005576
IPR005578	Yif1 family	interpro	family		PF03878,PTHR14083	GO:0006888,GO:0005789
IPR005579	Cgr1-like	interpro	family		PF03879	
IPR005582	Chromosome partition protein MukF	interpro	family		PIRSF018282,MF_01803	GO:0005509,GO:0006260,GO:0007059
IPR005583	Peroxide stress protein YaaA	interpro	family		MF_00652,PTHR30283,PF03883	
IPR005584	DNA gyrase inhibitor YacG	interpro	family		PF03884,MF_00649,PTHR36150	GO:0008270
IPR005585	Protein of unknown function DUF327	interpro	family		PF03885	
IPR005587	Uncharacterised protein family UPF0304, YfbU	interpro	family		PIRSF006272,PF03887,MF_00762	
IPR005588	MucB/RseB	interpro	family		PIRSF005427,PTHR38782	
IPR005589	Alternative ribosome-rescue factor A	interpro	family		PF03889	GO:0072344
IPR005590	Protein of unknown function DUF333	interpro	family		PF03891	
IPR005591	Nitrate reductase cytochrome c-type subunit NapB	interpro	family		PF03892,PTHR38604,PIRSF006105	GO:0009061
IPR005593	Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase	interpro	family		PIRSF017245,PF03894,PTHR31273	GO:0016832,GO:0005975
IPR005595	Translocon-associated protein (TRAP), alpha subunit	interpro	family		PF03896	GO:0005789
IPR005597	Satellite tobacco necrosis virus coat protein-like	interpro	family		PIRSF004094,cd00259	GO:0019028
IPR005598	ATP synthase protein I	interpro	family		PF03899	
IPR005599	GPI mannosyltransferase	interpro	family		PF03901,PTHR22760	GO:0016757
IPR005601	Tail fibre protein p36	interpro	family		PF03903	
IPR005602	Protein of unknown function DUF334	interpro	family		PF03904	
IPR005603	Coronavirus nonstructural protein NS4	interpro	family		PF03905	
IPR005604	Bacteriophage T7 tail fibre protein	interpro	family		PF03906	
IPR005605	Sporulation-specific protein Spo7	interpro	family		PF03907,PTHR28249	GO:0019888
IPR005606	Sec20	interpro	family		PF03908,PTHR12825	GO:0005484,GO:0006890
IPR005608	Adenovirus core-capsid bridging protein V	interpro	family		PF03910,MF_04053	GO:0003677,GO:0019012
IPR005610	Photosystem II Psb28, class 1	interpro	family		TIGR03047,PF03912,MF_01370,PTHR34963	GO:0015979,GO:0009523,GO:0009654,GO:0016020
IPR005611	Amb V Allergen	interpro	family		PF03913,PIRSF002697,SM00816	
IPR005614	NrfD family	interpro	family		PF03916	
IPR005615	Glutathione synthase	interpro	family		PF03917,PIRSF001558,PTHR11130,TIGR01986,cd00228	GO:0004363,GO:0005524,GO:0006750
IPR005616	CcmH/CycL/Ccl2/NrfF family	interpro	family		PF03918	
IPR005618	Outer membrane protein, OmpW	interpro	family		PF03922,PTHR36920	GO:0019867
IPR005619	Uncharacterised protein family, YajG	interpro	family		PF03923	
IPR005621	Negative modulator of initiation of replication SeqA	interpro	family		PIRSF019401,MF_00908	GO:0003677,GO:0032297
IPR005623	Chaperone NapD, nitrate reductase assembly	interpro	family		PF03927,PIRSF020431,PTHR38603,MF_02200	
IPR005624	Haem-degrading	interpro	family		PF03928	
IPR005625	PepSY-associated TM protein	interpro	family		PF03929,PTHR34219	
IPR005627	Copper homeostasis protein CutC	interpro	family		PTHR12598,MF_00795	GO:0005507,GO:0055070
IPR005628	General secretion pathway protein K	interpro	family		PF03934,PIRSF002786,PTHR38831	GO:0009306,GO:0016021
IPR005629	Beta-glucan synthesis-associated, Skn1	interpro	family		PF03935,PTHR31361,cd02180	GO:0006078
IPR005631	Flavinator of succinate dehydrogenase	interpro	family		PF03937	
IPR005632	Chaperone protein Skp	interpro	family		PF03938,SM00935,PTHR35089,PIRSF002094	GO:0051082
IPR005634	Male specific sperm protein	interpro	family		PF03940	
IPR005641	Hexon-associated protein IX	interpro	family		PF03955,MF_04050	GO:0031423,GO:0019028
IPR005642	Lysine exporter LysO	interpro	family		PF03956,PTHR35804	GO:0015661,GO:1903401
IPR005646	Flagellar assembly protein A	interpro	family		PTHR38032,PF03961	
IPR005647	Meiotic nuclear division protein 1	interpro	family		PIRSF026991	GO:0003690,GO:0007131
IPR005648	Flagellar hook capping protein	interpro	family		PF03963	
IPR005649	Chorion 2	interpro	family		PF03964	GO:0007275,GO:0042600
IPR005650	BlaI transcriptional regulatory family	interpro	family		PIRSF019455,PF03965,PTHR34134	GO:0003677,GO:0045892
IPR005651	Trm112-like	interpro	family		MF_01187,PF03966	
IPR005652	Photosynthetic reaction centre, H subunit	interpro	family		TIGR01150,cd00226	GO:0045156,GO:0019684,GO:0030077
IPR005654	ATPase, AFG1-like	interpro	family		PF03969,PTHR12169	GO:0005524
IPR005655	Herpesvirus UL37	interpro	family		PF03970	GO:0019068
IPR005656	MmgE/PrpD	interpro	family		PF03972,PTHR16943	GO:0016829
IPR005657	Triabin/Procalin	interpro	family		PF03973	GO:0030682
IPR005658	Proteinase inhibitor I11, ecotin	interpro	family		PIRSF006865,PF03974,PTHR35890	GO:0004867
IPR005659	Chemoreceptor glutamine deamidase CheD	interpro	family		PF03975,MF_01440,PTHR35147,cd16352	GO:0050568,GO:0006935
IPR005661	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit	interpro	family		TIGR01109,PIRSF015658,PF03977,PTHR35806	GO:0016829,GO:0006814
IPR005662	GTP-binding protein Era	interpro	family		TIGR00436,MF_00367	GO:0003723,GO:0005525
IPR005663	Monovalent cation proton antiporter subunit A	interpro	family		TIGR00940	GO:0015077,GO:0030004
IPR005664	Tetrahydrodipicolinate N-succinyltransferase, transferase hexapeptide repeat family	interpro	family		TIGR00965,MF_00811	GO:0008666,GO:0009089
IPR005665	Protein-export membrane protein SecF, bacterial	interpro	family		TIGR00966,MF_01464_B	GO:0015450,GO:0006886
IPR005667	Sulphate ABC transporter permease protein 2	interpro	family		TIGR00969,PTHR30406	GO:0015419,GO:0008272,GO:0016020
IPR005668	2-isopropylmalate synthase	interpro	family		TIGR00970,MF_00572	GO:0003852,GO:0009098
IPR005669	Thiosulphate/Sulfate-binding protein	interpro	family		TIGR00971,PTHR30368,cd01005	GO:0015419,GO:0008272
IPR005670	Phosphate transport system permease protein 1	interpro	family		TIGR00972,cd03260	GO:0005315,GO:0035435,GO:0016020
IPR005671	2-isopropylmalate synthase, bacterial-type	interpro	family		TIGR00973,MF_01025	GO:0003852,GO:0009098
IPR005672	Phosphate transport system permease protein PstA	interpro	family		TIGR00974	GO:0005315,GO:0035435,GO:0005887
IPR005673	Phosphate ABC transporter, substrate-binding protein PstS	interpro	family		TIGR00975,PIRSF002756	GO:0042301,GO:0035435,GO:0043190
IPR005674	CocE/Serine esterase	interpro	family		TIGR00976	GO:0016787
IPR005675	Citramalate synthase	interpro	family		PTHR43538,TIGR00977	GO:0046912,GO:0019752
IPR005676	Aspartate-semialdehyde dehydrogenase, peptidoglycan lacking	interpro	family		TIGR00978	GO:0050661,GO:0055114
IPR005677	Fumarate hydratase, class II	interpro	family		PTHR11444,TIGR00979,MF_00743,cd01362	GO:0004333,GO:0006106,GO:0045239
IPR005678	Mitochondrial inner membrane translocase complex, subunit Tim17	interpro	family		TIGR00980	GO:0015450,GO:0006886,GO:0005744
IPR005679	Ribosomal protein S12, bacterial-type	interpro	family		TIGR00981,MF_00403_B,cd03368	GO:0003735,GO:0006412,GO:0015935
IPR005680	Ribosomal protein S23, eukaryotic/archaeal	interpro	family		TIGR00982,cd03367	GO:0003735,GO:0006412,GO:0015935
IPR005681	Mitochondrial inner membrane translocase complex, subunit Tim23	interpro	family		TIGR00983	GO:0015450,GO:0006886,GO:0005744
IPR005683	Mitochondrial import receptor subunit Tom22	interpro	family		PTHR12504,PF04281	GO:0006886,GO:0005741
IPR005684	Integration host factor, alpha subunit	interpro	family		TIGR00987,MF_00380,cd13835	GO:0003677,GO:0006310,GO:0006355
IPR005685	Integration host factor, beta subunit	interpro	family		TIGR00988,MF_00381	GO:0003677,GO:0006310,GO:0006355,GO:0005694
IPR005686	Mitochondrial import receptor subunit Tom40, fungi	interpro	family		TIGR00989	GO:0008320,GO:0030150,GO:0005741
IPR005687	Mitochondrial outer membrane translocase complex, subunit Tom70	interpro	family		TIGR00990	GO:0015450,GO:0006886,GO:0005741
IPR005688	Chloroplast protein import component Toc34	interpro	family		TIGR00991,PIRSF038134	GO:0015450,GO:0006886,GO:0009707
IPR005689	Chloroplast envelope protein translocase, IAP75	interpro	family		TIGR00992	GO:0015450,GO:0006886
IPR005690	Chloroplast protein import component Toc86/159	interpro	family		TIGR00993	GO:0016817
IPR005691	Chloroplast protein import component Tic20	interpro	family		TIGR00994,PF16166,PTHR33510	
IPR005692	Chloroplast protein import component Tic22	interpro	family		TIGR00995	
IPR005693	Virulence factor Mce protein	interpro	family		PR01782,TIGR00996	
IPR005694	Efflux pump membrane protein	interpro	family		TIGR00998	GO:0042910,GO:1990961
IPR005695	Cobalt/zinc/cadmium resistance protein CzcB	interpro	family		TIGR00999	GO:0046873,GO:0030001
IPR005696	Secretion protein MesE/LcnD	interpro	family		TIGR01000	
IPR005697	Homoserine O-succinyltransferase MetA	interpro	family		TIGR01001	GO:0008899,GO:0019281,GO:0005737
IPR005699	Chaperone lipoprotein, PulS/OutS	interpro	family		TIGR01004	GO:0006886
IPR005700	Exopolysaccharide biosynthesis protein ExoP-like	interpro	family		TIGR01005	GO:0045226
IPR005701	Polysaccharide export protein MPA1-like	interpro	family		TIGR01006	GO:0005351,GO:0015774,GO:0016021
IPR005703	Ribosomal protein S3, eukaryotic/archaeal	interpro	family		TIGR01008	GO:0003735,GO:0006412,GO:0015935
IPR005704	Ribosomal protein S3, bacterial-type	interpro	family		TIGR01009,MF_01309_B	GO:0003735,GO:0006412
IPR005705	Polysaccharide export inner-membrane protein, BexC/CtrB/KpsE/VexD	interpro	family		TIGR01010	GO:0005351,GO:0015774,GO:0009276
IPR005706	Ribosomal protein S2, bacteria/mitochondria/plastid	interpro	family		PTHR12534,TIGR01011,MF_00291_B	GO:0003735,GO:0006412,GO:0015935
IPR005707	Ribosomal protein S2, eukaryotic/archaeal	interpro	family		PTHR11489,TIGR01012	GO:0003735,GO:0006412,GO:0015935
IPR005708	Homogentisate 1,2-dioxygenase	interpro	family		PTHR11056,TIGR01015,PF04209	GO:0004411,GO:0006559,GO:0006570,GO:0055114
IPR005709	Ribosomal protein S4, bacterial-type	interpro	family		TIGR01017,MF_01306_B,PTHR11831:SF4	GO:0003735,GO:0006412,GO:0015935
IPR005710	Ribosomal protein S4/S9, eukaryotic/archaeal	interpro	family		TIGR01018	GO:0003735,GO:0006412,GO:0015935
IPR005711	Ribosomal protein S5, eukaryotic/archaeal	interpro	family		TIGR01020,MF_01307_A	GO:0003735,GO:0006412,GO:0015935
IPR005712	Ribosomal protein S5, bacterial-type	interpro	family		TIGR01021,MF_01307_B	GO:0003735,GO:0006412,GO:0015935
IPR005713	Ribosomal protein S19A/S15e	interpro	family		TIGR01025	GO:0003735,GO:0006412,GO:0015935
IPR005714	ATPase, type III secretion system, FliI/YscN	interpro	family		TIGR01026	GO:0016887,GO:0009058,GO:0030254,GO:0005737,GO:0030257
IPR005715	Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase	interpro	family		TIGR01027,MF_00456	GO:0006561,GO:0005737
IPR005716	Ribosomal protein S5/S7, eukaryotic/archaeal	interpro	family		TIGR01028,cd14867	GO:0003735,GO:0006412,GO:0015935
IPR005717	Ribosomal protein S7, bacterial/organellar-type	interpro	family		TIGR01029,MF_00480_B	GO:0003735,GO:0006412,GO:0015935
IPR005719	Dihydroorotate dehydrogenase, class 2	interpro	family		TIGR01036,MF_00225,cd04738	GO:0004152,GO:0006207,GO:0055114,GO:0016020
IPR005721	Ribosomal protein L22/L17, eukaryotic/archaeal	interpro	family		TIGR01038,MF_01331_A,PTHR11593	GO:0003735,GO:0006412,GO:0015934
IPR005722	ATP synthase, F1 complex, beta subunit	interpro	family		TIGR01039,MF_01347	GO:0046933,GO:0015986,GO:0045261
IPR005723	ATPase, V1 complex, subunit B	interpro	family		TIGR01040	GO:1902600,GO:0033180
IPR005724	ATPase, A1 complex, beta subunit	interpro	family		TIGR01041	GO:0046933,GO:0015986,GO:0033178
IPR005725	ATPase, V1 complex, subunit A	interpro	family		TIGR01042	GO:0046961,GO:1902600,GO:0033180
IPR005726	ATP synthase alpha chain, archaea	interpro	family		TIGR01043	GO:0046961,GO:0015986,GO:0033178
IPR005727	Ribosomal protein L22, bacterial/chloroplast-type	interpro	family		PTHR13501,TIGR01044,MF_01331_B	GO:0003735,GO:0006412,GO:0015934
IPR005729	Ribosomal protein S10, eukaryotic/archaeal	interpro	family		TIGR01046	GO:0003735,GO:0006412,GO:0015935
IPR005730	Carboxynorspermidine decarboxylase	interpro	family		TIGR01047,PTHR43727:SF1,PIRSF038941,cd06829	GO:0016831,GO:0045312
IPR005732	Ribosomal protein S19, bacterial-type	interpro	family		TIGR01050	GO:0003735,GO:0006412,GO:0015935
IPR005733	DNA topoisomerase I, bacterial-type	interpro	family		TIGR01051	GO:0003677,GO:0003917,GO:0006265
IPR005734	DNA topoisomerase VI, subunit B	interpro	family		PIRSF006553,TIGR01052,MF_00322,PTHR10871:SF4	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR005736	Reverse gyrase	interpro	family		TIGR01054,MF_01125,PTHR43505	GO:0003677,GO:0003916,GO:0006265
IPR005737	DNA topoisomerase IV, subunit B, Gram-negative	interpro	family		PR01098,TIGR01055,MF_00938	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005738	DNA topoisomerase III	interpro	family		TIGR01056,MF_00953	GO:0003677,GO:0003916,GO:0006265
IPR005739	DNA topoisomerase I, archeal-type	interpro	family		TIGR01057	GO:0003677,GO:0003916,GO:0006265
IPR005740	DNA topoisomerase 4 subunit B, Firmicutes/Mollicutes	interpro	family		TIGR01058,MF_00939,PTHR45866:SF6	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005741	DNA topoisomerase IV subunit A, Gram-positive	interpro	family		TIGR01061,PTHR43493:SF9,MF_00937	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005742	DNA topoisomerase IV, subunit A, Gram-negative	interpro	family		MF_00936	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005743	DNA gyrase, subunit A	interpro	family		MF_01897	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005744	Hly-III	interpro	family		TIGR01065	GO:0019835,GO:0016021
IPR005745	Ribosomal protein L14P, bacterial-type	interpro	family		TIGR01067	GO:0003735,GO:0006412,GO:0015934
IPR005746	Thioredoxin	interpro	family		TIGR01068,PIRSF000077	GO:0015035,GO:0006662,GO:0045454
IPR005747	Endonuclease MutS2	interpro	family		TIGR01069,PIRSF005814,MF_00092,PTHR11361:SF14,cd03280	GO:0004519,GO:0016887,GO:0030983,GO:0045910
IPR005748	DNA mismatch repair protein MutS	interpro	family		TIGR01070,MF_00096	GO:0005524,GO:0030983,GO:0006298
IPR005749	Ribosomal protein L15, bacterial-type	interpro	family		TIGR01071,PTHR12934	GO:0003735,GO:0006412,GO:0015934
IPR005750	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	interpro	family		TIGR01072,MF_00111,cd01555	GO:0008760,GO:0019277
IPR005751	ATP-dependent DNA helicase PcrA	interpro	family		TIGR01073	GO:0003678,GO:0006268,GO:0005737
IPR005752	ATP-dependent DNA helicase Rep	interpro	family		TIGR01074,MF_01920	GO:0003677,GO:0003678,GO:0005524,GO:0006268
IPR005753	DNA helicase, ATP-dependent, UvrD type	interpro	family		TIGR01075	GO:0003678,GO:0006268,GO:0005737
IPR005754	Sortase family	interpro	family		TIGR01076,PF04203	
IPR005755	Ribosomal protein L13, eukaryotic/archaeal	interpro	family		TIGR01077,PTHR11545:SF3	GO:0003735,GO:0006412,GO:0015934
IPR005756	Ribosomal protein L26/L24, eukaryotic/archaeal	interpro	family		PTHR11143,TIGR01080,MF_01326_A,PF16906	GO:0003735,GO:0006412,GO:0015934
IPR005757	Murein peptide ligase	interpro	family		MF_02020,TIGR01081	GO:0016881,GO:0009252,GO:0071555
IPR005758	UDP-N-acetylmuramate--L-alanine ligase	interpro	family		TIGR01082,MF_00046	GO:0008763
IPR005759	Endonuclease III	interpro	family		TIGR01083,MF_00942	GO:0003906,GO:0006284
